window,signal_date,entry_date,ticker,sector,strategy,decision,candidate_rank,available_slots_at_entry_loop,fill_open,signal_entry,gap_pct,gap_abs_pct,gap_bucket,max_forward_return_pct,forward_positive,forward_strong_ge_10pct,volume_vs_20d_avg,news_t1_count_3d,news_t2_count_3d,news_t1t2_count_3d,news_pos_count_3d,news_neg_count_3d,news_archive_covered_days_3d,form4_buy_5d,form4_net_buy_usd_5d,form4_archive_available,recent_8k_severity_5d,recent_8k_count_5d,sec_filing_archive_available,days_since_earnings,earnings_shock_pct,earnings_archive_available,atr14_t_over_t20,bbwidth20,sector_5d_rs,sector_5d_rs_source,feature_coverage_count
late_strong,2025-10-28,2025-10-29,NVDA,Technology,breakout_long,gap_cancel,1,5,207.9572,201.01,0.034561,0.034561,3-4%,0.016671,True,False,1.771871,,,,,,0,0,-49377040.6,True,0,0,True,,,True,1.106214,0.109403,0.047572,equal_weight_sector_basket,7
late_strong,2025-10-31,2025-11-03,AMZN,Consumer Discretionary,trend_long,gap_cancel,1,4,255.36,244.22,0.045615,0.045615,4-5%,0.009144,True,False,3.114864,,,,,,0,0,0.0,True,3,1,True,,,True,1.271531,0.12597,0.084148,equal_weight_sector_basket,7
late_strong,2025-11-06,2025-11-07,DDOG,Technology,trend_long,adverse_gap_down_cancel,1,3,184.29,190.82,-0.034221,0.034221,3-4%,0.090586,True,False,5.060041,,,,,,0,0,-10238900.26,True,0,0,True,,,True,1.178578,0.198833,0.254712,equal_weight_sector_basket,7
late_strong,2025-12-19,2025-12-22,MU,Technology,trend_long,gap_cancel,1,2,276.9217,265.7,0.042234,0.042234,4-5%,0.417929,True,True,2.30003,,,,,,0,0,0.0,True,3,1,True,,,True,1.009531,0.236358,0.101163,equal_weight_sector_basket,7
late_strong,2025-12-26,2025-12-29,SLV,Commodities,trend_long,adverse_gap_down_cancel,1,3,65.66,71.12,-0.076772,0.076772,>5%,0.61935,True,True,2.498958,,,,,,0,0,0.0,True,0,0,True,,,True,1.306211,0.359295,0.153403,equal_weight_sector_basket,7
late_strong,2026-01-14,2026-01-15,SLV,Commodities,trend_long,adverse_gap_down_cancel,1,3,80.74,84.56,-0.045175,0.045175,4-5%,0.355531,True,True,1.899602,,,,,,0,0,0.0,True,0,0,True,,,True,1.548889,0.395271,0.150838,equal_weight_sector_basket,7
late_strong,2026-01-29,2026-01-30,GLD,Commodities,trend_long,adverse_gap_down_cancel,2,3,466.25,495.9,-0.05979,0.05979,>5%,0.034223,True,False,3.126422,,,,,,0,0,0.0,True,0,0,True,,,True,1.548763,0.269299,-0.056856,equal_weight_sector_basket,7
late_strong,2026-01-29,2026-01-30,IAU,Commodities,trend_long,adverse_gap_down_cancel,3,3,95.49,101.57,-0.05986,0.05986,>5%,0.034381,True,False,3.889974,,,,,,0,0,0.0,True,0,0,True,,,True,1.558252,0.269124,-0.057294,equal_weight_sector_basket,7
late_strong,2026-04-14,2026-04-15,CRDO,Technology,trend_long,gap_cancel,1,4,164.54,159.52,0.031469,0.031469,3-4%,0.117141,True,True,2.543094,2,0,2,0,0,4,0,-5476761.3,True,2,1,True,,,True,1.109411,0.576781,0.431035,equal_weight_sector_basket,9
mid_weak,2025-05-22,2025-05-23,SNOW,Technology,trend_long,adverse_gap_down_cancel,1,4,198.505,203.18,-0.023009,0.023009,2-3%,0.084275,True,False,5.337886,,,,,,0,0,-2240750.0,True,3,1,True,,,True,0.981996,0.251361,0.122663,equal_weight_sector_basket,7
mid_weak,2025-06-03,2025-06-04,CRDO,Technology,breakout_long,gap_cancel,1,3,73.03,71.92,0.015434,0.015434,1.5-2%,0.30597,True,True,4.632104,,,,,,0,0,0.0,True,3,1,True,,,True,1.308191,0.386307,0.103422,equal_weight_sector_basket,7
mid_weak,2025-06-24,2025-06-25,COIN,Financials,trend_long,gap_cancel,1,1,360.6,344.82,0.045763,0.045763,4-5%,0.228768,True,True,2.458872,,,,,,0,0,-2482132.63,True,0,0,True,,,True,1.294888,0.405055,0.302154,equal_weight_sector_basket,7
mid_weak,2025-08-07,2025-08-08,APP,Technology,breakout_long,gap_cancel,1,3,448.6,437.34,0.025747,0.025747,2-3%,0.135113,True,True,3.684522,,,,,,0,0,0.0,True,3,1,True,,,True,1.253039,0.227811,0.108608,equal_weight_sector_basket,7
mid_weak,2025-10-06,2025-10-07,AMD,Technology,breakout_long,gap_cancel,1,2,214.85,203.71,0.054686,0.054686,>5%,0.175253,True,True,4.604815,,,,,,0,0,0.0,True,0,0,True,,,True,1.66161,0.243545,0.240198,equal_weight_sector_basket,7
old_thin,2024-10-18,2024-10-21,SLV,Commodities,breakout_long,gap_cancel,3,3,31.13,30.64,0.015992,0.015992,1.5-2%,0.017947,True,False,1.852284,,,,,,0,0,0.0,True,0,0,True,,,True,1.01055,0.083114,0.040013,equal_weight_sector_basket,7
old_thin,2024-10-30,2024-10-31,BKNG,Consumer Discretionary,trend_long,gap_cancel,1,1,187.2252,176.54,0.060526,0.060526,>5%,0.102381,True,True,1.967545,,,,,,0,0,0.0,True,0,0,True,,,True,0.935256,0.077439,-0.040103,equal_weight_sector_basket,7
old_thin,2024-11-21,2024-11-22,SNOW,Technology,trend_long,gap_cancel,3,3,175.0,171.35,0.021301,0.021301,2-3%,0.064262,True,False,6.851302,,,,,,0,0,0.0,True,3,1,True,,,True,1.886236,0.386325,0.306638,equal_weight_sector_basket,7
old_thin,2024-12-03,2024-12-04,CRDO,Technology,trend_long,gap_cancel,1,1,72.11,70.69,0.020088,0.020088,2-3%,0.091299,True,False,4.653133,,,,,,0,0,0.0,True,3,1,True,,,True,1.699956,0.525594,0.463859,equal_weight_sector_basket,7
old_thin,2024-12-13,2024-12-16,AVGO,Technology,trend_long,gap_cancel,1,2,228.6208,221.73,0.031077,0.031077,3-4%,0.08287,True,False,4.289173,,,,,,0,0,0.0,True,3,1,True,,,True,1.775025,0.322559,0.279296,equal_weight_sector_basket,7
old_thin,2024-12-16,2024-12-17,AVGO,Technology,trend_long,adverse_gap_down_cancel,1,2,237.3596,246.58,-0.037393,0.037393,3-4%,0.026698,True,False,3.400203,,,,,,0,0,0.0,True,3,1,True,,,True,1.977188,0.497127,0.376493,equal_weight_sector_basket,7
