date,rank_ic,n,window,variant,horizon
2024-10-02,0.17387,38,old_thin,pullback_rs_60_5,5
2024-10-03,0.094868,38,old_thin,pullback_rs_60_5,5
2024-10-04,-0.028559,38,old_thin,pullback_rs_60_5,5
2024-10-07,-0.180654,38,old_thin,pullback_rs_60_5,5
2024-10-08,-0.275632,38,old_thin,pullback_rs_60_5,5
2024-10-09,-0.165992,38,old_thin,pullback_rs_60_5,5
2024-10-10,-0.270161,38,old_thin,pullback_rs_60_5,5
2024-10-11,-0.079549,38,old_thin,pullback_rs_60_5,5
2024-10-14,-0.138199,38,old_thin,pullback_rs_60_5,5
2024-10-15,-0.005143,38,old_thin,pullback_rs_60_5,5
2024-10-16,0.215231,38,old_thin,pullback_rs_60_5,5
2024-10-17,0.278258,38,old_thin,pullback_rs_60_5,5
2024-10-18,0.312835,38,old_thin,pullback_rs_60_5,5
2024-10-21,0.155925,38,old_thin,pullback_rs_60_5,5
2024-10-22,0.16643,38,old_thin,pullback_rs_60_5,5
2024-10-23,0.122005,38,old_thin,pullback_rs_60_5,5
2024-10-24,-0.159864,38,old_thin,pullback_rs_60_5,5
2024-10-25,-0.140825,37,old_thin,pullback_rs_60_5,5
2024-10-28,-0.066637,38,old_thin,pullback_rs_60_5,5
2024-10-29,0.193128,38,old_thin,pullback_rs_60_5,5
2024-10-30,-0.141919,38,old_thin,pullback_rs_60_5,5
2024-10-31,0.436919,38,old_thin,pullback_rs_60_5,5
2024-11-01,0.444797,38,old_thin,pullback_rs_60_5,5
2024-11-04,0.310647,38,old_thin,pullback_rs_60_5,5
2024-11-05,0.126819,38,old_thin,pullback_rs_60_5,5
2024-11-06,0.074516,38,old_thin,pullback_rs_60_5,5
2024-11-07,0.106248,38,old_thin,pullback_rs_60_5,5
2024-11-08,0.084145,38,old_thin,pullback_rs_60_5,5
2024-11-11,0.200788,38,old_thin,pullback_rs_60_5,5
2024-11-12,0.078674,38,old_thin,pullback_rs_60_5,5
2024-11-13,-0.016085,38,old_thin,pullback_rs_60_5,5
2024-11-14,0.03775,38,old_thin,pullback_rs_60_5,5
2024-11-15,-0.043221,38,old_thin,pullback_rs_60_5,5
2024-11-18,0.071671,38,old_thin,pullback_rs_60_5,5
2024-11-19,0.139293,38,old_thin,pullback_rs_60_5,5
2024-11-20,0.232082,38,old_thin,pullback_rs_60_5,5
2024-11-21,0.109968,38,old_thin,pullback_rs_60_5,5
2024-11-22,0.006894,38,old_thin,pullback_rs_60_5,5
2024-11-25,0.25528,38,old_thin,pullback_rs_60_5,5
