window,variant,horizon,cost_bps,rank_ic_mean,rank_ic_positive_rate,rank_ic_dates,top_bucket_return_mean,bottom_bucket_return_mean,top_bottom_spread_mean,top_bottom_hit_rate,top_bucket_max_drawdown,spread_max_drawdown,turnover_mean,sector_exposure_top,top_avg_close,universe_avg_close,top_avg_adv20,universe_avg_adv20,score_size_spearman,score_liquidity_spearman,observations
old_thin,pullback_rs_60_5,5,0,0.018402,0.522059,136,0.015623,0.001571,0.014051,0.514706,-0.346204,-0.179006,0.314815,"{""Communication Services"": 0.0607, ""Consumer Discretionary"": 0.1103, ""Energy"": 0.0221, ""Financials"": 0.0662, ""Healthcare"": 0.0404, ""Industrials"": 0.0827, ""Technology"": 0.5993, ""Unknown"": 0.0184}",239.368278,262.049285,5148691417.411714,4275057748.386484,0.046899,0.023186,5167
old_thin,pullback_rs_60_5,10,0,0.045226,0.564885,131,0.034505,-0.002081,0.036587,0.610687,-0.285006,-0.132811,0.307692,"{""Communication Services"": 0.0573, ""Consumer Discretionary"": 0.1069, ""Energy"": 0.0134, ""Financials"": 0.0687, ""Healthcare"": 0.0344, ""Industrials"": 0.0859, ""Technology"": 0.6145, ""Unknown"": 0.0191}",234.560291,262.858579,5213969693.614661,4239229571.178708,0.037441,0.024192,4977
old_thin,pullback_rs_60_5,20,0,0.015904,0.561983,121,0.06518,-0.002386,0.067566,0.586777,-0.25889,-0.111707,0.310417,"{""Communication Services"": 0.0475, ""Consumer Discretionary"": 0.1157, ""Financials"": 0.0744, ""Healthcare"": 0.0351, ""Industrials"": 0.0744, ""Technology"": 0.6364, ""Unknown"": 0.0165}",234.886268,264.588761,5401082533.688025,4197200941.448284,0.040898,0.034685,4597
old_thin,pullback_rs_60_5,60,0,-0.005624,0.469136,81,0.134317,0.023219,0.111098,0.555556,-0.130031,-0.055731,0.315625,"{""Communication Services"": 0.037, ""Consumer Discretionary"": 0.1327, ""Financials"": 0.0895, ""Healthcare"": 0.0309, ""Industrials"": 0.0525, ""Technology"": 0.642, ""Unknown"": 0.0154}",219.818629,261.471432,5473624915.753497,3965945565.558198,-0.008205,0.05842,3077
old_thin,pullback_rs_60_5,5,35,0.018402,0.522059,136,0.012123,-0.001929,0.014051,0.514706,-0.366214,-0.179006,0.314815,"{""Communication Services"": 0.0607, ""Consumer Discretionary"": 0.1103, ""Energy"": 0.0221, ""Financials"": 0.0662, ""Healthcare"": 0.0404, ""Industrials"": 0.0827, ""Technology"": 0.5993, ""Unknown"": 0.0184}",239.368278,262.049285,5148691417.411714,4275057748.386484,0.046899,0.023186,5167
old_thin,pullback_rs_60_5,10,35,0.045226,0.564885,131,0.031005,-0.005581,0.036587,0.610687,-0.295659,-0.132811,0.307692,"{""Communication Services"": 0.0573, ""Consumer Discretionary"": 0.1069, ""Energy"": 0.0134, ""Financials"": 0.0687, ""Healthcare"": 0.0344, ""Industrials"": 0.0859, ""Technology"": 0.6145, ""Unknown"": 0.0191}",234.560291,262.858579,5213969693.614661,4239229571.178708,0.037441,0.024192,4977
old_thin,pullback_rs_60_5,20,35,0.015904,0.561983,121,0.06168,-0.005886,0.067566,0.586777,-0.265576,-0.111707,0.310417,"{""Communication Services"": 0.0475, ""Consumer Discretionary"": 0.1157, ""Financials"": 0.0744, ""Healthcare"": 0.0351, ""Industrials"": 0.0744, ""Technology"": 0.6364, ""Unknown"": 0.0165}",234.886268,264.588761,5401082533.688025,4197200941.448284,0.040898,0.034685,4597
old_thin,pullback_rs_60_5,60,35,-0.005624,0.469136,81,0.130817,0.019719,0.111098,0.555556,-0.132647,-0.055731,0.315625,"{""Communication Services"": 0.037, ""Consumer Discretionary"": 0.1327, ""Financials"": 0.0895, ""Healthcare"": 0.0309, ""Industrials"": 0.0525, ""Technology"": 0.642, ""Unknown"": 0.0154}",219.818629,261.471432,5473624915.753497,3965945565.558198,-0.008205,0.05842,3077
old_thin,pullback_rs_60_5,5,70,0.018402,0.522059,136,0.008623,-0.005429,0.014051,0.514706,-0.385684,-0.179006,0.314815,"{""Communication Services"": 0.0607, ""Consumer Discretionary"": 0.1103, ""Energy"": 0.0221, ""Financials"": 0.0662, ""Healthcare"": 0.0404, ""Industrials"": 0.0827, ""Technology"": 0.5993, ""Unknown"": 0.0184}",239.368278,262.049285,5148691417.411714,4275057748.386484,0.046899,0.023186,5167
old_thin,pullback_rs_60_5,10,70,0.045226,0.564885,131,0.027505,-0.009081,0.036587,0.610687,-0.306195,-0.132811,0.307692,"{""Communication Services"": 0.0573, ""Consumer Discretionary"": 0.1069, ""Energy"": 0.0134, ""Financials"": 0.0687, ""Healthcare"": 0.0344, ""Industrials"": 0.0859, ""Technology"": 0.6145, ""Unknown"": 0.0191}",234.560291,262.858579,5213969693.614661,4239229571.178708,0.037441,0.024192,4977
